,num_candidates,num_voters,prob_model,voting_method,condorcet_efficiency,error,num_samples,percent_condorcet_winner,percent_condorcet_winner_error
0,3,10,Impartial Culture,Plurality,0.8727406860936924,0.01792434251937125,9161,0.636243446546615,0.012777781939560473
1,3,10,Impartial Culture,Borda,0.9852452969383991,0.00661385582635976,9161,0.636243446546615,0.012777781939560473
2,3,10,Impartial Culture,Instant Runoff,0.9721504979712283,0.00895039192879421,9161,0.636243446546615,0.012777781939560473
3,3,10,Impartial Culture,Coombs,1.0,0.0006801226237143077,9161,0.636243446546615,0.012777781939560473
4,3,10,Impartial Culture,Bucklin,0.83382515676872,0.01999793199061839,9161,0.636243446546615,0.012777781939560473
5,3,100,Impartial Culture,Plurality,0.7858443924017694,0.01847052146716599,9688,0.6843752964614362,0.010276195668843746
6,3,100,Impartial Culture,Borda,0.928831641946396,0.011626764571114556,9688,0.6843752964614362,0.010276195668843746
7,3,100,Impartial Culture,Instant Runoff,0.9679937548790007,0.008003636174007456,9688,0.6843752964614362,0.010276195668843746
8,3,100,Impartial Culture,Coombs,0.9681238615664846,0.007988165809332926,9688,0.6843752964614362,0.010276195668843746
9,3,100,Impartial Culture,Bucklin,0.7291178766588603,0.019998247428745564,9688,0.6843752964614362,0.010276195668843746
10,3,1000,Impartial Culture,Plurality,0.7712629734465561,0.019247340896876852,8455,0.7251110334847048,0.008766624409253354
11,3,1000,Impartial Culture,Borda,0.9133306375522308,0.012939257297055473,8455,0.7251110334847048,0.008766624409253354
12,3,1000,Impartial Culture,Instant Runoff,0.9660331581075616,0.008381990973181042,8455,0.7251110334847048,0.008766624409253354
13,3,1000,Impartial Culture,Coombs,0.9602372287370265,0.009030285329487908,8455,0.7251110334847048,0.008766624409253354
14,3,1000,Impartial Culture,Bucklin,0.7437660062002965,0.01999947852186157,8455,0.7251110334847048,0.008766624409253354
15,4,10,Impartial Culture,Plurality,0.7677363649445963,0.019998130878029485,14513,0.6596325401622978,0.007967702806934263
16,4,10,Impartial Culture,Borda,0.9693481076413872,0.008253647261449393,14513,0.6596325401622978,0.007967702806934263
17,4,10,Impartial Culture,Instant Runoff,0.9474744567563679,0.010636211280715901,14513,0.6596325401622978,0.007967702806934263
18,4,10,Impartial Culture,Coombs,0.9797093106921859,0.0067798571493249415,14513,0.6596325401622978,0.007967702806934263
19,4,10,Impartial Culture,Bucklin,0.8055835371995971,0.0187513135237799,14513,0.6596325401622978,0.007967702806934263
20,4,100,Impartial Culture,Plurality,0.6649722735674677,0.019999538712410447,12510,0.6656532689527727,0.007153762014382226
21,4,100,Impartial Culture,Borda,0.899260628465804,0.012796632030214972,12510,0.6656532689527727,0.007153762014382226
22,4,100,Impartial Culture,Instant Runoff,0.9295286506469501,0.010899692293196983,12510,0.6656532689527727,0.007153762014382226
23,4,100,Impartial Culture,Coombs,0.9316081330868762,0.010751352070816012,12510,0.6656532689527727,0.007153762014382226
24,4,100,Impartial Culture,Bucklin,0.7442236598890942,0.018495714701947774,12510,0.6656532689527727,0.007153762014382226
25,4,1000,Impartial Culture,Plurality,0.6494064443188242,0.019998366006856005,11336,0.6822163009804046,0.006529607278423777
26,4,1000,Impartial Culture,Borda,0.8803843979649519,0.013638218214670483,11336,0.6822163009804046,0.006529607278423777
27,4,1000,Impartial Culture,Instant Runoff,0.9260599208592425,0.011020231661865276,11336,0.6822163009804046,0.006529607278423777
28,4,1000,Impartial Culture,Coombs,0.93159977388355,0.010635215550450217,11336,0.6822163009804046,0.006529607278423777
29,4,1000,Impartial Culture,Bucklin,0.7355568117580554,0.018493343942764362,11336,0.6822163009804046,0.006529607278423777
30,5,10,Impartial Culture,Plurality,0.6849070100143062,0.019999649619720672,21119,0.6217505725420869,0.006034759234812115
31,5,10,Impartial Culture,Borda,0.9589890319504053,0.008609474589039268,21119,0.6217505725420869,0.006034759234812115
32,5,10,Impartial Culture,Instant Runoff,0.9190510252742012,0.011793749317540625,21119,0.6217505725420869,0.006034759234812115
33,5,10,Impartial Culture,Coombs,0.9642346208869814,0.008070123219572567,21119,0.6217505725420869,0.006034759234812115
34,5,10,Impartial Culture,Bucklin,0.8249880782069623,0.016380970215482904,21119,0.6217505725420869,0.006034759234812115
35,5,100,Impartial Culture,Plurality,0.5811812023708721,0.019999813076031714,15391,0.6206947549740315,0.005618640609122205
36,5,100,Impartial Culture,Borda,0.8936282811176969,0.012539289131488052,15391,0.6206947549740315,0.005618640609122205
37,5,100,Impartial Culture,Instant Runoff,0.9020956816257409,0.012090707890336283,15391,0.6206947549740315,0.005618640609122205
38,5,100,Impartial Culture,Coombs,0.9068585944115156,0.011826472033067525,15391,0.6206947549740315,0.005618640609122205
39,5,100,Impartial Culture,Bucklin,0.7014182895850973,0.018559296570023087,15391,0.6206947549740315,0.005618640609122205
40,5,1000,Impartial Culture,Plurality,0.555462798706042,0.019999799036905852,13649,0.6293352825904382,0.005287267565033726
41,5,1000,Impartial Culture,Borda,0.8656996765104873,0.013757332030437053,13649,0.6293352825904382,0.005287267565033726
42,5,1000,Impartial Culture,Instant Runoff,0.8975268704998435,0.012248039966798685,13649,0.6293352825904382,0.005287267565033726
43,5,1000,Impartial Culture,Coombs,0.9052488782218512,0.011831807207909217,13649,0.6293352825904382,0.005287267565033726
44,5,1000,Impartial Culture,Bucklin,0.6855890639674423,0.01869340234759309,13649,0.6293352825904382,0.005287267565033726
45,6,10,Impartial Culture,Plurality,0.6339325343985797,0.019999960701058916,26726,0.5790680006695768,0.004916975440126037
46,6,10,Impartial Culture,Borda,0.9545051043053706,0.008717462442347945,26726,0.5790680006695768,0.004916975440126037
47,6,10,Impartial Culture,Instant Runoff,0.8973590767865068,0.012642517475475845,26726,0.5790680006695768,0.004916975440126037
48,6,10,Impartial Culture,Coombs,0.9482911673324457,0.009256070705676134,26726,0.5790680006695768,0.004916975440126037
49,6,10,Impartial Culture,Bucklin,0.8232356857523302,0.015861306618350057,26726,0.5790680006695768,0.004916975440126037
50,6,100,Impartial Culture,Plurality,0.5269795327682448,0.01999896614169505,17719,0.5756785964020088,0.004663120446228519
51,6,100,Impartial Culture,Borda,0.8936324167872648,0.012390521088778583,17719,0.5756785964020088,0.004663120446228519
52,6,100,Impartial Culture,Instant Runoff,0.875646061608435,0.013254149772297219,17719,0.5756785964020088,0.004663120446228519
53,6,100,Impartial Culture,Coombs,0.8839156501964027,0.012869337794434887,17719,0.5756785964020088,0.004663120446228519
54,6,100,Impartial Culture,Bucklin,0.6981600165391771,0.018396636918768916,17719,0.5756785964020088,0.004663120446228519
55,6,1000,Impartial Culture,Plurality,0.5109827781788182,0.019999306117871374,15231,0.5806120931418374,0.004463243559773233
56,6,1000,Impartial Culture,Borda,0.8551098277817882,0.014113966200926198,15231,0.5806120931418374,0.004463243559773233
57,6,1000,Impartial Culture,Instant Runoff,0.8749097659069816,0.013271579719413396,15231,0.5806120931418374,0.004463243559773233
