,num_candidates,num_voters,prob_model,voting_method,condorcet_efficiency,error,num_samples,percent_condorcet_winner,percent_condorcet_winner_error
0,3,10,Impartial Culture,Plurality,0.8789919199692189,0.017923210012810165,8967,0.5745350223133853,0.002282974439578034
1,3,10,Impartial Culture,Borda,0.9838399384378607,0.007058830260665894,8967,0.5745350223133853,0.002282974439578034
2,3,10,Impartial Culture,Instant Runoff,0.9724894190073105,0.009092539442513425,8967,0.5745350223133853,0.002282974439578034
3,3,10,Impartial Culture,Coombs,1.0,0.0007094210881086749,8967,0.5745350223133853,0.002282974439578034
4,3,10,Impartial Culture,Bucklin,0.842439399769142,0.019998415463211905,8967,0.5745350223133853,0.002282974439578034
5,3,100,Impartial Culture,Plurality,0.7826788596019365,0.018879983480973084,9257,0.5774325838776021,0.0022664175920696916
6,3,100,Impartial Culture,Borda,0.9296664873587951,0.011759333859869825,9257,0.5774325838776021,0.0022664175920696916
7,3,100,Impartial Culture,Instant Runoff,0.9634211941904249,0.008671155186584456,9257,0.5774325838776021,0.0022664175920696916
8,3,100,Impartial Culture,Coombs,0.9663797740720818,0.008331627513658235,9257,0.5774325838776021,0.0022664175920696916
9,3,100,Impartial Culture,Bucklin,0.7428725121032813,0.019999073601258188,9257,0.5774325838776021,0.0022664175920696916
10,3,1000,Impartial Culture,Plurality,0.7699479023855224,0.01945151508686882,8345,0.5807815007129888,0.0022511329168420913
11,3,1000,Impartial Culture,Borda,0.9110227584315876,0.013205002649340103,8345,0.5807815007129888,0.0022511329168420913
12,3,1000,Impartial Culture,Instant Runoff,0.9664107485604606,0.008410042503806947,8345,0.5807815007129888,0.0022511329168420913
13,3,1000,Impartial Culture,Coombs,0.9629832739237729,0.008805938700055638,8345,0.5807815007129888,0.0022511329168420913
14,3,1000,Impartial Culture,Bucklin,0.7503427474636688,0.019999731931543807,8345,0.5807815007129888,0.0022511329168420913
15,4,10,Impartial Culture,Plurality,0.7580848383032339,0.019999469841264217,15207,0.5785425578876621,0.0022299442834634586
16,4,10,Impartial Culture,Borda,0.9651406971860563,0.008650779297330713,15207,0.5785425578876621,0.0022299442834634586
17,4,10,Impartial Culture,Instant Runoff,0.9410611787764245,0.011064706633064136,15207,0.5785425578876621,0.0022299442834634586
18,4,10,Impartial Culture,Coombs,0.9799804003919922,0.006642184031291909,15207,0.5785425578876621,0.0022299442834634586
19,4,10,Impartial Culture,Bucklin,0.7930841383172337,0.018926244604576703,15207,0.5785425578876621,0.0022299442834634586
20,4,100,Impartial Culture,Plurality,0.6610383643464277,0.019998686691985568,12606,0.5803847683371254,0.0022102040539759837
21,4,100,Impartial Culture,Borda,0.9077647599356765,0.012271302727608235,12606,0.5803847683371254,0.0022102040539759837
22,4,100,Impartial Culture,Instant Runoff,0.9290144727773949,0.010904164402824934,12606,0.5803847683371254,0.0022102040539759837
23,4,100,Impartial Culture,Coombs,0.9402710774178727,0.010072064606867936,12606,0.5803847683371254,0.0022102040539759837
24,4,100,Impartial Culture,Bucklin,0.7539627842866988,0.01820717551691664,12606,0.5803847683371254,0.0022102040539759837
25,4,1000,Impartial Culture,Plurality,0.6464293759855824,0.01999931015901879,11367,0.5833151317835035,0.00219183523410571
26,4,1000,Impartial Culture,Borda,0.8767740482090561,0.013786675995579367,11367,0.5833151317835035,0.00219183523410571
27,4,1000,Impartial Culture,Instant Runoff,0.9284748817301194,0.010834295534956517,11367,0.5833151317835035,0.00219183523410571
28,4,1000,Impartial Culture,Coombs,0.9330930389727417,0.01050832635866994,11367,0.5833151317835035,0.00219183523410571
29,4,1000,Impartial Culture,Bucklin,0.7416084703762108,0.018322077592021313,11367,0.5833151317835035,0.00219183523410571
30,5,10,Impartial Culture,Plurality,0.6955782312925171,0.01999970422116837,20968,0.5783120019016877,0.002166470812398069
31,5,10,Impartial Culture,Borda,0.9588192419825073,0.008708791540368521,20968,0.5783120019016877,0.002166470812398069
32,5,10,Impartial Culture,Instant Runoff,0.9257774538386784,0.011447343701361246,20968,0.5783120019016877,0.002166470812398069
33,5,10,Impartial Culture,Coombs,0.9637998056365403,0.008194181932587696,20968,0.5783120019016877,0.002166470812398069
34,5,10,Impartial Culture,Bucklin,0.8350340136054422,0.01615531835895767,20968,0.5783120019016877,0.002166470812398069
35,5,100,Impartial Culture,Plurality,0.5895879910571702,0.019999659464711828,15153,0.57908533807768,0.0021456753081130486
36,5,100,Impartial Culture,Borda,0.8916214202065368,0.01267915843385714,15153,0.57908533807768,0.0021456753081130486
37,5,100,Impartial Culture,Instant Runoff,0.9029064196742255,0.012081887808708447,15153,0.57908533807768,0.0021456753081130486
38,5,100,Impartial Culture,Coombs,0.9065261364846162,0.011880150332939987,15153,0.57908533807768,0.0021456753081130486
39,5,100,Impartial Culture,Bucklin,0.6928563824124347,0.018762387953643156,15153,0.57908533807768,0.0021456753081130486
40,5,1000,Impartial Culture,Plurality,0.5705573080967403,0.01999972919126014,13497,0.5811314829577022,0.002126673460162154
41,5,1000,Impartial Culture,Borda,0.8675078864353313,0.01373208441344187,13497,0.5811314829577022,0.002126673460162154
42,5,1000,Impartial Culture,Instant Runoff,0.9012618296529968,0.012096087128139477,13497,0.5811314829577022,0.002126673460162154
43,5,1000,Impartial Culture,Coombs,0.9,0.012163987000567644,13497,0.5811314829577022,0.002126673460162154
44,5,1000,Impartial Culture,Bucklin,0.6966351209253417,0.018581773810218083,13497,0.5811314829577022,0.002126673460162154
45,6,10,Impartial Culture,Plurality,0.635504668741663,0.019999658819683463,26783,0.5734466019985422,0.002098167782250804
46,6,10,Impartial Culture,Borda,0.9555357936860827,0.008631851339641394,26783,0.5734466019985422,0.002098167782250804
47,6,10,Impartial Culture,Instant Runoff,0.899955535793686,0.012512151463830223,26783,0.5734466019985422,0.002098167782250804
48,6,10,Impartial Culture,Coombs,0.9459759893285905,0.00945550029392661,26783,0.5734466019985422,0.002098167782250804
49,6,10,Impartial Culture,Bucklin,0.8219208537127612,0.015921371412561447,26783,0.5734466019985422,0.002098167782250804
50,6,100,Impartial Culture,Plurality,0.5121699669966997,0.019999248236473033,17898,0.5727962082049366,0.002076930531006771
51,6,100,Impartial Culture,Borda,0.8889232673267327,0.012611908305512065,17898,0.5727962082049366,0.002076930531006771
52,6,100,Impartial Culture,Instant Runoff,0.8751031353135313,0.013263543467247674,17898,0.5727962082049366,0.002076930531006771
53,6,100,Impartial Culture,Coombs,0.8896452145214522,0.01257626543563628,17898,0.5727962082049366,0.002076930531006771
54,6,100,Impartial Culture,Bucklin,0.6951320132013201,0.018427191720617908,17898,0.5727962082049366,0.002076930531006771
55,6,1000,Impartial Culture,Plurality,0.5054639175257732,0.019999810251653816,15142,0.5739527328802845,0.0020584184233840563
56,6,1000,Impartial Culture,Borda,0.8685567010309279,0.01355054208794959,15142,0.5739527328802845,0.0020584184233840563
57,6,1000,Impartial Culture,Instant Runoff,0.8743298969072165,0.013295611431552445,15142,0.5739527328802845,0.0020584184233840563
58,6,1000,Impartial Culture,Coombs,0.8761855670103093,0.013211761639472241,15142,0.5739527328802845,0.0020584184233840563
59,6,1000,Impartial Culture,Bucklin,0.6908247422680412,0.018495076098196783,15142,0.5739527328802845,0.0020584184233840563
60,7,10,Impartial Culture,Plurality,0.5917039880571551,0.01999994328799415,32054,0.5641469988051971,0.0020278034948713053
61,7,10,Impartial Culture,Borda,0.9554275965024526,0.008461574521395954,32054,0.5641469988051971,0.0020278034948713053
62,7,10,Impartial Culture,Instant Runoff,0.8800383877159309,0.013258241902794343,32054,0.5641469988051971,0.0020278034948713053
63,7,10,Impartial Culture,Coombs,0.9291959906163361,0.010489857416237536,32054,0.5641469988051971,0.0020278034948713053
64,7,10,Impartial Culture,Bucklin,0.8015568351460866,0.016249045388198602,32054,0.5641469988051971,0.0020278034948713053
65,7,100,Impartial Culture,Plurality,0.4631568038138667,0.01999981710080595,19540,0.5626838358579326,0.00200734748762299
66,7,100,Impartial Culture,Borda,0.8837185200538916,0.012895550841242165,19540,0.5626838358579326,0.00200734748762299
67,7,100,Impartial Culture,Instant Runoff,0.8523163022074827,0.014260825102184072,19540,0.5626838358579326,0.00200734748762299
68,7,100,Impartial Culture,Coombs,0.8630946212042698,0.013820460222329856,19540,0.5626838358579326,0.00200734748762299
69,7,100,Impartial Culture,Bucklin,0.7072235464815007,0.018260224043948003,19540,0.5626838358579326,0.00200734748762299
70,7,1000,Impartial Culture,Plurality,0.4513007284079084,0.019999862600886875,16708,0.5629021039364478,0.001989610192908442
