,probability_model,num_cands,num_voters,voting_method,other_vm,perc_diff
0,Impartial Culture,3,10,Split Cycle,Split Cycle,0.0
1,Impartial Culture,3,10,Split Cycle,Minimax,0.0
2,Impartial Culture,3,10,Split Cycle,Copeland,0.1402
3,Impartial Culture,3,10,Split Cycle,Plurality,0.3566
4,Impartial Culture,3,10,Split Cycle,Borda,0.25824
5,Impartial Culture,3,10,Split Cycle,Instant Runoff,0.19212
6,Impartial Culture,3,10,Split Cycle,Coombs,0.14782
7,Impartial Culture,3,10,Minimax,Split Cycle,0.0
8,Impartial Culture,3,10,Minimax,Minimax,0.0
9,Impartial Culture,3,10,Minimax,Copeland,0.1402
10,Impartial Culture,3,10,Minimax,Plurality,0.3566
11,Impartial Culture,3,10,Minimax,Borda,0.25824
12,Impartial Culture,3,10,Minimax,Instant Runoff,0.19212
13,Impartial Culture,3,10,Minimax,Coombs,0.14782
14,Impartial Culture,3,10,Copeland,Split Cycle,0.1402
15,Impartial Culture,3,10,Copeland,Minimax,0.1402
16,Impartial Culture,3,10,Copeland,Copeland,0.0
17,Impartial Culture,3,10,Copeland,Plurality,0.32408
18,Impartial Culture,3,10,Copeland,Borda,0.12324
19,Impartial Culture,3,10,Copeland,Instant Runoff,0.2111
20,Impartial Culture,3,10,Copeland,Coombs,0.15584
21,Impartial Culture,3,10,Plurality,Split Cycle,0.3566
22,Impartial Culture,3,10,Plurality,Minimax,0.3566
23,Impartial Culture,3,10,Plurality,Copeland,0.32408
24,Impartial Culture,3,10,Plurality,Plurality,0.0
25,Impartial Culture,3,10,Plurality,Borda,0.32444
26,Impartial Culture,3,10,Plurality,Instant Runoff,0.20582
27,Impartial Culture,3,10,Plurality,Coombs,0.39766
28,Impartial Culture,3,10,Borda,Split Cycle,0.25824
29,Impartial Culture,3,10,Borda,Minimax,0.25824
30,Impartial Culture,3,10,Borda,Copeland,0.12324
31,Impartial Culture,3,10,Borda,Plurality,0.32444
32,Impartial Culture,3,10,Borda,Borda,0.0
33,Impartial Culture,3,10,Borda,Instant Runoff,0.30722
34,Impartial Culture,3,10,Borda,Coombs,0.25194
35,Impartial Culture,3,10,Instant Runoff,Split Cycle,0.19212
36,Impartial Culture,3,10,Instant Runoff,Minimax,0.19212
37,Impartial Culture,3,10,Instant Runoff,Copeland,0.2111
38,Impartial Culture,3,10,Instant Runoff,Plurality,0.20582
39,Impartial Culture,3,10,Instant Runoff,Borda,0.30722
40,Impartial Culture,3,10,Instant Runoff,Instant Runoff,0.0
41,Impartial Culture,3,10,Instant Runoff,Coombs,0.28238
42,Impartial Culture,3,10,Coombs,Split Cycle,0.14782
43,Impartial Culture,3,10,Coombs,Minimax,0.14782
44,Impartial Culture,3,10,Coombs,Copeland,0.15584
45,Impartial Culture,3,10,Coombs,Plurality,0.39766
46,Impartial Culture,3,10,Coombs,Borda,0.25194
47,Impartial Culture,3,10,Coombs,Instant Runoff,0.28238
48,Impartial Culture,3,10,Coombs,Coombs,0.0
49,Impartial Culture,3,11,Split Cycle,Split Cycle,0.0
50,Impartial Culture,3,11,Split Cycle,Minimax,0.0
51,Impartial Culture,3,11,Split Cycle,Copeland,0.05354
52,Impartial Culture,3,11,Split Cycle,Plurality,0.32534
53,Impartial Culture,3,11,Split Cycle,Borda,0.16244
54,Impartial Culture,3,11,Split Cycle,Instant Runoff,0.10858
55,Impartial Culture,3,11,Split Cycle,Coombs,0.10286
56,Impartial Culture,3,11,Minimax,Split Cycle,0.0
57,Impartial Culture,3,11,Minimax,Minimax,0.0
58,Impartial Culture,3,11,Minimax,Copeland,0.05354
59,Impartial Culture,3,11,Minimax,Plurality,0.32534
60,Impartial Culture,3,11,Minimax,Borda,0.16244
61,Impartial Culture,3,11,Minimax,Instant Runoff,0.10858
62,Impartial Culture,3,11,Minimax,Coombs,0.10286
