m,n_team,k,rule,seed,ok,runtime
3,2,2,plurality,0,False,0.0007469999836757779
3,2,2,plurality,1,False,0.0009727999567985535
3,2,2,plurality,2,False,0.0007846999797038734
3,2,2,plurality,3,False,0.0013719000271521509
3,2,2,plurality,4,False,0.0005333000444807112
3,2,2,plurality,5,False,0.00036720000207424164
3,2,2,plurality,6,False,0.0003884999896399677
3,2,2,plurality,7,False,0.0003510999958962202
3,2,2,plurality,8,False,0.0004484999808482826
3,2,2,plurality,9,False,0.00040439999429509044
3,2,2,plurality,10,False,0.0003848000196740031
3,2,2,plurality,11,False,0.00030509999487549067
3,2,2,plurality,12,False,0.0003006000188179314
3,2,2,plurality,13,False,0.0007467000395990908
3,2,2,plurality,14,False,0.0006009999779053032
3,2,2,plurality,15,False,0.0009734999621286988
3,2,2,plurality,16,False,0.00034930004039779305
3,2,2,plurality,17,False,0.00033919996349141
3,2,2,plurality,18,False,0.0003290999447926879
3,2,2,plurality,19,False,0.0003532999544404447
3,2,2,plurality,20,False,0.0005941999843344092
3,2,2,plurality,21,False,0.00045930000487715006
3,2,2,plurality,22,False,0.0003912999527528882
3,2,2,plurality,23,False,0.00034880003659054637
3,2,2,plurality,24,False,0.00027110002702102065
3,2,2,plurality,25,False,0.00025429995730519295
3,2,2,plurality,26,False,0.00031049997778609395
3,2,2,plurality,27,False,0.00034580001374706626
3,2,2,plurality,28,False,0.00033710000570863485
3,2,2,plurality,29,False,0.00025560002541169524
3,2,2,plurality,30,False,0.00021059997379779816
3,2,2,plurality,31,False,0.00023290002718567848
3,2,2,plurality,32,False,0.00028630002634599805
3,2,2,plurality,33,False,0.00036990002263337374
3,2,2,plurality,34,False,0.0005147000192664564
3,2,2,plurality,35,False,0.000256399973295629
3,2,2,plurality,36,False,0.00026239996077492833
3,2,2,plurality,37,False,0.0002571999793872237
3,2,2,plurality,38,False,0.00037379999412223697
3,2,2,plurality,39,False,0.00028899998869746923
3,2,2,plurality,40,False,0.00032220000866800547
3,2,2,plurality,41,False,0.00023529998725280166
3,2,2,plurality,42,False,0.00021890003699809313
3,2,2,plurality,43,False,0.0002395000192336738
3,2,2,plurality,44,False,0.00024149997625499964
3,2,2,plurality,45,False,0.0004910000134259462
3,2,2,plurality,46,False,0.0003008000203408301
3,2,2,plurality,47,False,0.0009118000161834061
3,2,2,plurality,48,False,0.00023689999943599105
3,2,2,plurality,49,False,0.00022769998759031296
3,2,2,2-approval,0,False,0.00023359997430816293
3,2,2,2-approval,1,False,0.0002361999941058457
3,2,2,2-approval,2,False,0.00024720001965761185
3,2,2,2-approval,3,False,0.00037999998312443495
3,2,2,2-approval,4,False,0.0003369000041857362
3,2,2,2-approval,5,False,0.0004393000272102654
3,2,2,2-approval,6,False,0.0003234000178053975
3,2,2,2-approval,7,False,0.00029090000316500664
3,2,2,2-approval,8,False,0.0002914000069722533
3,2,2,2-approval,9,False,0.00048500002594664693
3,2,2,2-approval,10,False,0.0002733999863266945
3,2,2,2-approval,11,False,0.00027540000155568123
3,2,2,2-approval,12,False,0.0002986000035889447
3,2,2,2-approval,13,False,0.0002758000046014786
3,2,2,2-approval,14,False,0.00035530002787709236
3,2,2,2-approval,15,False,0.00032140000257641077
3,2,2,2-approval,16,False,0.00023790000705048442
3,2,2,2-approval,17,False,0.00024289998691529036
3,2,2,2-approval,18,False,0.00041769997915253043
3,2,2,2-approval,19,False,0.0012192000285722315
3,2,2,2-approval,20,False,0.00033949996577575803
3,2,2,2-approval,21,False,0.0002759000053629279
3,2,2,2-approval,22,False,0.00037570000858977437
3,2,2,2-approval,23,False,0.000304899993352592
3,2,2,2-approval,24,False,0.000548299984075129
3,2,2,2-approval,25,False,0.0004004999645985663
3,2,2,2-approval,26,False,0.00031450000824406743
3,2,2,2-approval,27,False,0.0002502999850548804
3,2,2,2-approval,28,False,0.0002232000115327537
3,2,2,2-approval,29,False,0.0003374999505467713
3,2,2,2-approval,30,False,0.0003725000424310565
3,2,2,2-approval,31,False,0.0003648999845609069
3,2,2,2-approval,32,False,0.0002908000024035573
3,2,2,2-approval,33,False,0.000602699990849942
3,2,2,2-approval,34,False,0.0002633000258356333
3,2,2,2-approval,35,False,0.0003833999508060515
3,2,2,2-approval,36,False,0.00036890001501888037
3,2,2,2-approval,37,False,0.00047480000648647547
3,2,2,2-approval,38,False,0.00024319998919963837
3,2,2,2-approval,39,False,0.00021539995213970542
3,2,2,2-approval,40,False,0.00021170004038140178
3,2,2,2-approval,41,False,0.00047069997526705265
3,2,2,2-approval,42,False,0.00028929999098181725
3,2,2,2-approval,43,False,0.0003695000195875764
3,2,2,2-approval,44,False,0.00026080000679939985
3,2,2,2-approval,45,False,0.0002962000435218215
3,2,2,2-approval,46,False,0.0002723000361584127
3,2,2,2-approval,47,False,0.0006392000359483063
3,2,2,2-approval,48,False,0.00032980000833049417
3,2,2,2-approval,49,False,0.00039739999920129776
3,2,2,veto,0,False,0.00031049997778609395
3,2,2,veto,1,False,0.00022929999977350235
3,2,2,veto,2,False,0.00021980004385113716
3,2,2,veto,3,False,0.00028249999741092324
3,2,2,veto,4,False,0.00033089995849877596
3,2,2,veto,5,False,0.00034359999699518085
3,2,2,veto,6,False,0.0002662999904714525
3,2,2,veto,7,False,0.0002544000162743032
3,2,2,veto,8,False,0.00023260002490133047
3,2,2,veto,9,False,0.00030239997431635857
3,2,2,veto,10,False,0.00042369996663182974
3,2,2,veto,11,False,0.00028529996052384377
3,2,2,veto,12,False,0.0008551000501029193
3,2,2,veto,13,False,0.0007217000238597393
3,2,2,veto,14,False,0.000270900025498122
3,2,2,veto,15,False,0.00031259999377653003
3,2,2,veto,16,False,0.00031720002880319953
3,2,2,veto,17,False,0.0002788000274449587
3,2,2,veto,18,False,0.0002680000034160912
3,2,2,veto,19,False,0.00023380003403872252
3,2,2,veto,20,False,0.0002562999725341797
3,2,2,veto,21,False,0.00031999999191612005
3,2,2,veto,22,False,0.0009148000390268862
3,2,2,veto,23,False,0.0005536000244319439
3,2,2,veto,24,False,0.00022489996626973152
3,2,2,veto,25,False,0.00021949998335912824
3,2,2,veto,26,False,0.00027109996881335974
3,2,2,veto,27,False,0.0004537999629974365
3,2,2,veto,28,False,0.00042779999785125256
3,2,2,veto,29,False,0.00033029995393007994
3,2,2,veto,30,False,0.00038329995004460216
3,2,2,veto,31,False,0.00028310000197961926
3,2,2,veto,32,False,0.0003415000392124057
3,2,2,veto,33,False,0.0003293999470770359
3,2,2,veto,34,False,0.0002812999882735312
3,2,2,veto,35,False,0.00022599997464567423
3,2,2,veto,36,False,0.00023220002185553312
3,2,2,veto,37,False,0.00020970002515241504
3,2,2,veto,38,False,0.0003369000041857362
3,2,2,veto,39,False,0.000347500026691705
3,2,2,veto,40,False,0.00023500004317611456
3,2,2,veto,41,False,0.00021170004038140178
3,2,2,veto,42,False,0.00020970002515241504
3,2,2,veto,43,False,0.0002555000246502459
3,2,2,veto,44,False,0.00022460002219304442
3,2,2,veto,45,False,0.00023229996440932155
3,2,2,veto,46,False,0.00031510001281276345
3,2,2,veto,47,False,0.0005889000021852553
3,2,2,veto,48,False,0.00035180000122636557
3,2,2,veto,49,False,0.00025809998624026775
3,2,3,plurality,0,False,0.00024090002989396453
3,2,3,plurality,1,False,0.0002929000183939934
3,2,3,plurality,2,False,0.0003595000016503036
3,2,3,plurality,3,False,0.000512800004798919
